Paths,Accumulated Latency [s],Accumulated Noise [W],Accumulated SNR [dB]
A->B,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
A->C->D->B,0.006236036695667109,1.2472073391334222e-06,29.040613422260705
A->C->D->E->F->B,0.011306757314866885,2.261351462973377e-06,26.456319336441766
A->C->D->F->B,0.008263047238164326,1.6526094476328655e-06,27.818297687990515
A->C->E->D->B,0.00810497128736746,1.6209942574734923e-06,27.902185236783154
A->C->E->D->F->B,0.010131981829864677,2.0263963659729355e-06,26.93275602056492
A->C->E->F->B,0.009367805353635282,1.8735610707270568e-06,27.273321460463006
A->C->E->F->D->B,0.011245919649091394,2.249183929818279e-06,26.47975028139772
A->D->B,0.003965496089274807,7.930992178549617e-07,31.006724784181998
A->D->C->E->F->B,0.010702816022706969,2.140563204541394e-06,26.694719442004708
A->D->E->F->B,0.009036216708474583,1.8072433416949169e-06,27.429833666199933
A->D->F->B,0.0059925066317720235,1.198501326354405e-06,29.213614810061472
A->B->D->C,0.005632095403507193,1.126419080701439e-06,29.483000015141428
A->B->D->E->C,0.007501029995207544,1.5002059990415092e-06,28.238491022080623
A->B->D->F->E->C,0.010641978356931477,2.1283956713862956e-06,26.719476329905767
A->B->F->D->C,0.00765910594600441,1.5318211892008823e-06,28.147919273115363
A->B->F->D->E->C,0.00952804053770476,1.9056081075409524e-06,27.199664081215793
A->B->F->E->C,0.008763864061475366,1.7527728122950733e-06,27.562743718472824
A->B->F->E->D->C,0.010702816022706969,2.140563204541394e-06,26.694719442004708
A->C,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
A->D->B->F->E->C,0.010961593197783805,2.1923186395567612e-06,26.590963236620496
A->D->C,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
A->D->E->C,0.005575653505898323,1.1151307011796648e-06,29.526742272575458
A->D->F->E->C,0.008716601867622256,1.743320373524451e-06,27.586227943769032
A->B->D,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
A->B->F->D,0.005856330308272415,1.1712660616544832e-06,29.31344440552332
A->B->F->E->C->D,0.010566639699207361,2.113327939841472e-06,26.750331052133596
A->B->F->E->D,0.008900040384974973,1.780008076994995e-06,27.495780270245902
A->C->D,0.004174483882858279,8.34896776571656e-07,30.783672156978156
A->C->E->D,0.00604341847455863,1.2086836949117263e-06,29.176873364653247
A->C->E->F->B->D,0.011429358166444113,2.285871633288823e-06,26.409481617445998
A->C->E->F->D,0.009184366836282563,1.836873367256513e-06,27.359207826149156
A->D,0.001903943276465977,3.807886552931955e-07,34.19315998882512
A->B->D->C->E,0.007399862356473562,1.4799724712947128e-06,28.297463627644962
A->B->D->E,0.0057332630422411756,1.1466526084482354e-06,29.4056813666335
A->B->D->F->E,0.008874211403965108,1.7748422807930219e-06,27.508402339467033
A->B->F->D->C->E,0.009426872898970779,1.885374579794156e-06,27.24602352738605
A->B->F->D->E,0.007760273584738392,1.5520547169476787e-06,28.09092971963425
A->B->F->E,0.006996097108508997,1.3992194217017995e-06,28.541141753136984
A->C->D->B->F->E,0.011464366851209738,2.292873370241948e-06,26.39619929624072
A->C->D->E,0.006078427159324256,1.2156854318648514e-06,29.15178787628153
A->C->D->F->E,0.009219375521048189,1.8438751042096378e-06,27.34268499437251
A->C->E,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
A->D->B->F->E,0.009193826244817436,1.8387652489634875e-06,27.354737126256715
A->D->C->E,0.00547448586716434,1.0948971734328683e-06,29.606266653970135
A->D->E,0.003807886552931954,7.61577310586391e-07,31.18286003218531
A->D->F->E,0.006948834914655887,1.3897669829311773e-06,28.5705801018508
A->B->D->C->E->F,0.010492191575686807,2.098438315137362e-06,26.78103792613655
A->B->D->E->F,0.00882559226145442,1.7651184522908845e-06,27.532261449786198
A->B->D->F,0.005781882184751863,1.1563764369503728e-06,29.369007663672477
A->B->F,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
A->C->D->B->F,0.008372037631996492,1.674407526399299e-06,27.761388325275057
A->C->D->E->F,0.009170756378537502,1.8341512757075005e-06,27.36564847785062
A->C->D->F,0.006127046301834943,1.2254092603669888e-06,29.117188420462654
A->C->E->D->B->F,0.010240972223696843,2.048194444739369e-06,26.886288161196568
A->C->E->D->F,0.007995980893535294,1.599196178707059e-06,27.96098256639077
A->C->E->F,0.0072318044173059,1.4463608834611801e-06,28.397233321166922
A->D->B->F,0.00610149702560419,1.2202994051208384e-06,29.135336004409474
A->D->C->E->F,0.008566815086377586,1.7133630172755173e-06,27.661506115255822
A->D->E->F,0.0069002157721452,1.3800431544290402e-06,28.60107332847047
A->D->F,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
B->A,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
B->D->A,0.003965496089274807,7.930992178549617e-07,31.006724784181998
B->D->C->A,0.006236036695667109,1.2472073391334222e-06,29.040613422260705
B->D->E->C->A,0.00810497128736746,1.6209942574734923e-06,27.902185236783154
B->D->F->E->C->A,0.011245919649091392,2.2491839298182788e-06,26.47975028139772
B->F->D->A,0.0059925066317720235,1.198501326354405e-06,29.213614810061472
B->F->D->C->A,0.008263047238164326,1.6526094476328655e-06,27.818297687990515
B->F->D->E->C->A,0.010131981829864677,2.0263963659729355e-06,26.93275602056492
B->F->E->C->A,0.009367805353635282,1.8735610707270564e-06,27.273321460463006
B->F->E->C->D->A,0.010702816022706969,2.140563204541394e-06,26.694719442004708
B->F->E->D->A,0.009036216708474583,1.8072433416949167e-06,27.429833666199933
B->F->E->D->C->A,0.011306757314866885,2.261351462973377e-06,26.456319336441766
B->A->C,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
B->A->D->C,0.00547448586716434,1.0948971734328683e-06,29.606266653970135
B->A->D->E->C,0.007343420458864691,1.4686840917729385e-06,28.330716092158937
B->A->D->F->E->C,0.010484368820588622,2.0968737641177248e-06,26.78427714120874
B->D->A->C,0.006337204334401091,1.2674408668802186e-06,28.970722937592765
B->D->C,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
B->D->E->C,0.0057332630422411756,1.1466526084482354e-06,29.4056813666335
B->D->F->E->C,0.008874211403965108,1.7748422807930219e-06,27.508402339467033
B->F->D->A->C,0.008364214876898307,1.6728429753796618e-06,27.76544823010504
B->F->D->C,0.005891338993038041,1.1782677986076086e-06,29.287559911790314
B->F->D->E->C,0.007760273584738392,1.5520547169476787e-06,28.09092971963425
B->F->E->C,0.0069960971085089975,1.3992194217017995e-06,28.541141753136984
B->F->E->D->A->C,0.011407924953600867,2.2815849907201735e-06,26.417633488009
B->F->E->D->C,0.008935049069740601,1.7870098139481203e-06,27.47873062417797
B->A->C->D,0.005942250835824648,1.18845016716493e-06,29.250190239307692
B->A->C->E->D,0.007811185427524999,1.562237085505e-06,28.06253056813921
B->A->C->E->F->D,0.010952133789248931,2.1904267578497864e-06,26.594712639162893
B->A->D,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
B->D,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
B->F->D,0.004088563355306047,8.177126710612095e-07,30.873992724822998
B->F->E->C->A->D,0.01127174863010126,2.254349726020252e-06,26.469787092752803
B->F->E->C->D,0.008798872746240992,1.7597745492481984e-06,27.54542967577386
B->F->E->D,0.007132273432008606,1.4264546864017212e-06,28.457420198416465
B->A->C->D->E,0.007846194112290625,1.5692388224581253e-06,28.043109561053512
B->A->C->D->F->E,0.010987142474014557,2.197428494802912e-06,26.580852481394132
B->A->C->E,0.005907242151059022,1.1814484302118046e-06,29.27585230411839
B->A->D->C->E,0.007242252820130708,1.448450564026142e-06,28.390963227847163
B->A->D->E,0.005575653505898322,1.1151307011796648e-06,29.526742272575458
B->A->D->F->E,0.008716601867622254,1.743320373524451e-06,27.586227943769032
B->D->A->C->E,0.008104971287367459,1.6209942574734923e-06,27.902185236783154
B->D->C->E,0.005632095403507193,1.1264190807014389e-06,29.483000015141428
B->D->E,0.003965496089274807,7.930992178549617e-07,31.006724784181998
B->D->F->E,0.00710644445099874,1.4212888901997481e-06,28.473176387031014
B->F->D->A->C->E,0.010131981829864675,2.0263963659729355e-06,26.93275602056492
B->F->D->C->E,0.00765910594600441,1.5318211892008823e-06,28.147919273115363
B->F->D->E,0.0059925066317720235,1.198501326354405e-06,29.213614810061472
B->F->E,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
B->A->C->D->E->F,0.010938523331503872,2.1877046663007746e-06,26.600113068600816
B->A->C->D->F,0.00789481325480131,1.5789626509602627e-06,28.016281427426254
B->A->C->E->D->F,0.009763747846501662,1.952749569300333e-06,27.093534493105487
B->A->C->E->F,0.008999571370272267,1.7999142740544539e-06,27.44748178892078
B->A->D->C->E->F,0.010334582039343954,2.066916407868791e-06,26.84677087153755
B->A->D->E->F,0.008667982725111567,1.733596545022314e-06,27.610519672161796
B->A->D->F,0.005624272648409009,1.124854529681802e-06,29.489036384783397
B->D->A->C->E->F,0.011197300506580705,2.2394601013161414e-06,26.49856670630587
B->D->C->E->F,0.00872442462272044,1.7448849245440882e-06,27.582332095549177
B->D->E->F,0.007057825308488053,1.4115650616976108e-06,28.502990996034512
B->D->F,0.004014115231785494,8.02823046357099e-07,30.953801688675945
B->F,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
C->A,0.0023717082451262844,4.74341649025257e-07,33.23908740944319
C->D->A,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
C->D->B->A,0.005632095403507193,1.1264190807014389e-06,29.483000015141428
C->D->E->F->B->A,0.010702816022706969,2.140563204541394e-06,26.694719442004708
C->D->F->B->A,0.00765910594600441,1.5318211892008821e-06,28.147919273115363
C->E->D->A,0.005575653505898322,1.1151307011796648e-06,29.526742272575458
C->E->D->B->A,0.007501029995207544,1.5002059990415092e-06,28.238491022080623
C->E->D->F->B->A,0.00952804053770476,1.9056081075409524e-06,27.199664081215793
C->E->F->B->A,0.008763864061475366,1.7527728122950735e-06,27.562743718472824
C->E->F->B->D->A,0.010961593197783804,2.1923186395567617e-06,26.59096323662049
C->E->F->D->A,0.008716601867622254,1.7433203735244512e-06,27.586227943769032
C->E->F->D->B->A,0.010641978356931477,2.1283956713862956e-06,26.719476329905767
C->A->B,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
C->A->D->B,0.006337204334401092,1.2674408668802186e-06,28.970722937592765
C->A->D->E->F->B,0.011407924953600867,2.281584990720174e-06,26.417633488008995
C->A->D->F->B,0.00836421487689831,1.672842975379662e-06,27.76544823010504
C->D->A->B,0.00547448586716434,1.0948971734328683e-06,29.606266653970135
C->D->B,0.0038643284505408245,7.728656901081651e-07,31.118959719457653
C->D->E->F->B,0.0089350490697406,1.7870098139481203e-06,27.47873062417797
C->D->F->B,0.005891338993038041,1.1782677986076084e-06,29.287559911790314
C->E->D->A->B,0.007343420458864691,1.4686840917729385e-06,28.330716092158937
C->E->D->B,0.0057332630422411756,1.1466526084482354e-06,29.4056813666335
C->E->D->F->B,0.007760273584738392,1.5520547169476787e-06,28.09092971963425
C->E->F->B,0.006996097108508997,1.3992194217017997e-06,28.541141753136984
C->E->F->D->A->B,0.010484368820588622,2.096873764117725e-06,26.78427714120874
C->E->F->D->B,0.008874211403965108,1.7748422807930219e-06,27.508402339467033
C->A->B->D,0.006201028010901484,1.240205602180297e-06,29.06506311216375
C->A->B->F->D,0.0082280385533987,1.6456077106797403e-06,27.83673686372996
C->A->B->F->E->D,0.01127174863010126,2.2543497260202525e-06,26.469787092752803
C->A->D,0.004275651521592262,8.551303043184525e-07,30.679677026582116
C->D,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
C->E->D,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
C->E->F->B->A->D,0.010667807337941343,2.133561467588269e-06,26.708948406650595
C->E->F->B->D,0.009057649921317827,1.811529984263566e-06,27.41954473171017
C->E->F->D,0.006812658591156278,1.3625317182312558e-06,28.656533790384945
C->A->B->D->E,0.00810497128736746,1.6209942574734925e-06,27.902185236783154
C->A->B->D->F->E,0.011245919649091394,2.249183929818279e-06,26.47975028139772
C->A->B->F->D->E,0.010131981829864677,2.026396365972936e-06,26.93275602056492
C->A->B->F->E,0.009367805353635282,1.8735610707270568e-06,27.273321460463006
C->A->D->B->F->E,0.01156553448994372,2.3131068979887444e-06,26.358042962679132
C->A->D->E,0.0061795947980582385,1.235918959611648e-06,29.080100054181944
C->A->D->F->E,0.00932054315978217,1.8641086319564346e-06,27.29528782494622
C->D->A->B->F->E,0.010702816022706969,2.140563204541394e-06,26.694719442004708
C->D->B->F->E,0.009092658606083453,1.8185317212166912e-06,27.402791190089314
C->D->E,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
C->D->F->E,0.006847667275921903,1.369533455184381e-06,28.634273542647094
C->E,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
C->A->B->D->E->F,0.011197300506580707,2.239460101316142e-06,26.49856670630587
C->A->B->D->F,0.008153590429878147,1.6307180859756299e-06,27.876211120973974
C->A->B->F,0.006275476134422036,1.2550952268844075e-06,29.013233220383363
C->A->D->B->F,0.008473205270730474,1.6946410541460953e-06,27.70922276642025
C->A->D->E->F,0.009271924017271484,1.8543848034542972e-06,27.31800140376912
C->A->D->F,0.0062282139405689255,1.2456427881137853e-06,29.04606482069235
C->D->A->B->F,0.007610486803493723,1.522097360698745e-06,28.175575671042953
C->D->B->F,0.006000329386870207,1.2000658773740419e-06,29.207949127900925
C->D->E->F,0.006799048133411217,1.3598096266822436e-06,28.665218885919867
C->D->F,0.003755338056708658,7.510676113417318e-07,31.243209659106853
C->E->D->A->B->F,0.009479421395194074,1.8958842790388152e-06,27.221881746501914
C->E->D->B->F,0.00786926397857056,1.5738527957141121e-06,28.030358901463977
C->E->D->F,0.005624272648409009,1.124854529681802e-06,29.489036384783397
C->E->F,0.004860096172179614,9.72019234435923e-07,30.123251411161796
D->A,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->B->A,0.0038293197657751988,7.6586395315504e-07,31.158483708916314
D->B->F->E->C->A,0.011429358166444113,2.2858716332888225e-06,26.409481617445998
D->C->A,0.004174483882858279,8.34896776571656e-07,30.783672156978156
D->C->E->F->B->A,0.010566639699207361,2.1133279398414726e-06,26.750331052133596
D->E->C->A,0.00604341847455863,1.2086836949117263e-06,29.176873364653247
D->E->F->B->A,0.008900040384974973,1.7800080769949952e-06,27.495780270245902
D->F->B->A,0.005856330308272415,1.1712660616544832e-06,29.31344440552332
D->F->E->C->A,0.009184366836282562,1.8368733672565127e-06,27.359207826149156
D->A->B,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
D->A->C->E->F->B,0.01127174863010126,2.254349726020252e-06,26.469787092752803
D->B,0.00206155281280883,4.1231056256176617e-07,33.84775539310863
D->C->A->B,0.005942250835824648,1.1884501671649297e-06,29.250190239307692
D->C->E->F->B,0.008798872746240992,1.7597745492481988e-06,27.545429675773857
D->E->C->A->B,0.007811185427524999,1.562237085505e-06,28.06253056813921
D->E->F->B,0.007132273432008606,1.4264546864017214e-06,28.45742019841646
D->F->B,0.004088563355306047,8.177126710612095e-07,30.873992724822998
D->F->E->C->A->B,0.01095213378924893,2.1904267578497864e-06,26.594712639162893
D->A->B->F->E->C,0.010667807337941343,2.133561467588269e-06,26.708948406650595
D->A->C,0.004275651521592262,8.551303043184525e-07,30.679677026582116
D->B->A->C,0.006201028010901484,1.240205602180297e-06,29.06506311216375
D->B->F->E->C,0.009057649921317829,1.8115299842635656e-06,27.41954473171017
D->C,0.0018027756377319946,3.60555127546399e-07,34.43028323846582
D->E->C,0.0036717102294323454,7.343420458864693e-07,31.34101604879875
D->E->F->B->A->C,0.011271748630101257,2.254349726020252e-06,26.469787092752803
D->F->B->A->C,0.0082280385533987,1.6456077106797403e-06,27.83673686372996
D->F->E->C,0.006812658591156278,1.3625317182312558e-06,28.656533790384945
D->A->B->F->E,0.008900040384974973,1.7800080769949952e-06,27.495780270245902
D->A->C->E,0.00604341847455863,1.2086836949117263e-06,29.176873364653247
D->B->A->C->E,0.007968794963867851,1.5937589927735708e-06,27.975773517115883
D->B->F->E,0.007289882968351459,1.4579765936702919e-06,28.362494481177905
D->C->A->B->F->E,0.011170580991367276,2.2341161982734557e-06,26.508942426095764
D->C->E,0.003570542590698363,7.141085181396728e-07,31.46235786475725
D->E,0.001903943276465977,3.807886552931955e-07,34.19315998882512
D->F->B->A->C->E,0.009995805506365068,1.999161101273014e-06,26.991522070951092
D->F->E,0.005044891638189909,1.008978327637982e-06,29.96118162096408
D->A->B->F,0.005807711165761728,1.1615422331523459e-06,29.349649948249454
D->A->C->E->F,0.009135747693771876,1.8271495387543753e-06,27.38225907382988
D->B->A->C->E->F,0.011061124183081097,2.21222483661622e-06,26.551707361650074
D->B->F,0.004197553749138213,8.395107498276428e-07,30.759737384051032
D->C->A->B->F,0.00807825177215403,1.6156503544308064e-06,27.916526197811727
D->C->E->F,0.006662871809911609,1.3325743619823221e-06,28.7530854658095
D->E->C->A->B->F,0.009947186363854381,1.9894372727708767e-06,27.012697496660934
D->E->F,0.004996272495679223,9.992544991358447e-07,30.003238876558264
D->F,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
E->C->A,0.0041394751980926535,8.278950396185308e-07,30.820247195000423
E->C->D->A,0.00547448586716434,1.0948971734328683e-06,29.606266653970135
E->C->D->B->A,0.007399862356473562,1.4799724712947128e-06,28.297463627644962
E->C->D->F->B->A,0.009426872898970779,1.885374579794156e-06,27.24602352738605
E->D->A,0.003807886552931954,7.61577310586391e-07,31.18286003218531
E->D->B->A,0.0057332630422411756,1.1466526084482354e-06,29.4056813666335
E->D->C->A,0.006078427159324256,1.2156854318648514e-06,29.15178787628153
E->D->F->B->A,0.007760273584738392,1.5520547169476787e-06,28.09092971963425
E->F->B->A,0.0069960971085089975,1.3992194217017995e-06,28.541141753136984
E->F->B->D->A,0.009193826244817436,1.8387652489634873e-06,27.354737126256715
E->F->B->D->C->A,0.011464366851209738,2.2928733702419476e-06,26.39619929624072
E->F->D->A,0.006948834914655886,1.3897669829311775e-06,28.5705801018508
E->F->D->B->A,0.008874211403965108,1.7748422807930219e-06,27.508402339467033
E->F->D->C->A,0.009219375521048187,1.8438751042096378e-06,27.34268499437251
E->C->A->B,0.005907242151059022,1.1814484302118046e-06,29.27585230411839
E->C->A->D->B,0.00810497128736746,1.6209942574734923e-06,27.902185236783154
E->C->A->D->F->B,0.010131981829864677,2.0263963659729355e-06,26.93275602056492
E->C->D->A->B,0.007242252820130708,1.448450564026142e-06,28.390963227847163
E->C->D->B,0.005632095403507193,1.126419080701439e-06,29.483000015141428
E->C->D->F->B,0.00765910594600441,1.5318211892008823e-06,28.147919273115363
E->D->A->B,0.005575653505898323,1.1151307011796648e-06,29.526742272575458
E->D->B,0.003965496089274807,7.930992178549617e-07,31.006724784181998
E->D->C->A->B,0.007846194112290625,1.5692388224581251e-06,28.04310956105352
E->D->F->B,0.0059925066317720235,1.198501326354405e-06,29.213614810061472
E->F->B,0.005228330155542629,1.0456660311085258e-06,29.806069999869898
E->F->D->A->B,0.008716601867622254,1.7433203735244512e-06,27.586227943769032
E->F->D->B,0.007106444450998739,1.4212888901997481e-06,28.473176387031014
E->F->D->C->A->B,0.010987142474014555,2.1974284948029116e-06,26.580852481394132
E->C,0.0017677669529663686,3.535533905932738e-07,34.51544993495972
E->D->A->C,0.0061795947980582385,1.235918959611648e-06,29.080100054181944
E->D->B->A->C,0.00810497128736746,1.6209942574734923e-06,27.902185236783154
E->D->C,0.0037067189141979716,7.413437828395945e-07,31.299803502301586
E->D->F->B->A->C,0.010131981829864677,2.0263963659729355e-06,26.93275602056492
E->F->B->A->C,0.009367805353635282,1.8735610707270564e-06,27.273321460463006
E->F->B->A->D->C,0.01070281602270697,2.140563204541394e-06,26.694719442004708
E->F->B->D->A->C,0.01156553448994372,2.3131068979887444e-06,26.358042962679132
E->F->B->D->C,0.009092658606083454,1.8185317212166907e-06,27.402791190089314
E->F->D->A->C,0.00932054315978217,1.8641086319564346e-06,27.29528782494622
E->F->D->B->A->C,0.011245919649091392,2.2491839298182788e-06,26.47975028139772
E->F->D->C,0.006847667275921903,1.369533455184381e-06,28.634273542647094
E->C->A->B->D,0.007968794963867851,1.5937589927735708e-06,27.975773517115883
E->C->A->B->F->D,0.009995805506365068,1.999161101273014e-06,26.991522070951092
E->C->A->D,0.00604341847455863,1.2086836949117263e-06,29.176873364653247
E->C->D,0.003570542590698363,7.141085181396728e-07,31.46235786475725
E->D,0.001903943276465977,3.807886552931955e-07,34.19315998882512
E->F->B->A->C->D,0.011170580991367278,2.2341161982734553e-06,26.50894242609577
E->F->B->A->D,0.008900040384974975,1.780008076994995e-06,27.495780270245902
E->F->B->D,0.007289882968351459,1.4579765936702919e-06,28.362494481177905
E->F->D,0.005044891638189909,1.008978327637982e-06,29.96118162096408
E->C->A->B->D->F,0.009921357382844515,1.984271476568904e-06,27.02398910452898
E->C->A->B->F,0.008043243087388404,1.6086486174776813e-06,27.935388099445465
E->C->A->D->B->F,0.010240972223696843,2.048194444739369e-06,26.886288161196568
E->C->A->D->F,0.007995980893535294,1.599196178707059e-06,27.96098256639077
E->C->D->A->B->F,0.009378253756460092,1.8756507512920187e-06,27.268480246493976
E->C->D->B->F,0.007768096339836576,1.5536192679673158e-06,28.086554012877745
E->C->D->F,0.005523105009675027,1.1046210019350056e-06,29.567867038809695
E->D->A->B->F,0.007711654442227706,1.5423308884455415e-06,28.118224436585713
E->D->B->F,0.00610149702560419,1.2202994051208384e-06,29.135336004409474
E->D->C->A->B->F,0.009982195048620008,1.996439009724002e-06,26.997439527598544
E->D->F,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
E->F,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
F->B->A,0.0039037678892957514,7.807535778591504e-07,31.074860169076572
F->B->D->A,0.00610149702560419,1.2202994051208382e-06,29.135336004409474
F->B->D->C->A,0.008372037631996492,1.6744075263992985e-06,27.761388325275057
F->B->D->E->C->A,0.010240972223696843,2.048194444739369e-06,26.886288161196568
F->D->A,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
F->D->B->A,0.005781882184751863,1.1563764369503728e-06,29.369007663672477
F->D->C->A,0.006127046301834943,1.2254092603669888e-06,29.117188420462654
F->D->E->C->A,0.007995980893535294,1.5991961787070588e-06,27.960982566390772
F->E->C->A,0.007231804417305898,1.4463608834611801e-06,28.397233321166922
F->E->C->D->A,0.008566815086377586,1.7133630172755176e-06,27.661506115255822
F->E->C->D->B->A,0.010492191575686809,2.098438315137362e-06,26.78103792613655
F->E->D->A,0.0069002157721452,1.3800431544290402e-06,28.60107332847047
F->E->D->B->A,0.00882559226145442,1.7651184522908845e-06,27.532261449786198
F->E->D->C->A,0.009170756378537502,1.8341512757075005e-06,27.36564847785062
F->B,0.002136000936329383,4.2720018726587666e-07,33.69368565603753
F->D->A->B,0.005624272648409009,1.124854529681802e-06,29.489036384783397
F->D->B,0.004014115231785494,8.02823046357099e-07,30.953801688675945
F->D->C->A->B,0.007894813254801313,1.5789626509602625e-06,28.016281427426254
F->D->E->C->A->B,0.009763747846501664,1.9527495693003326e-06,27.093534493105494
F->E->C->A->B,0.008999571370272266,1.7999142740544539e-06,27.44748178892078
F->E->C->A->D->B,0.011197300506580705,2.239460101316142e-06,26.49856670630587
F->E->C->D->A->B,0.010334582039343954,2.0669164078687915e-06,26.84677087153755
F->E->C->D->B,0.00872442462272044,1.7448849245440882e-06,27.582332095549177
F->E->D->A->B,0.00866798272511157,1.7335965450223139e-06,27.610519672161796
F->E->D->B,0.007057825308488053,1.4115650616976108e-06,28.502990996034512
F->E->D->C->A->B,0.010938523331503872,2.1877046663007742e-06,26.600113068600816
F->B->A->C,0.006275476134422036,1.2550952268844073e-06,29.013233220383363
F->B->A->D->C,0.007610486803493723,1.522097360698745e-06,28.175575671042953
F->B->A->D->E->C,0.009479421395194074,1.895884279038815e-06,27.221881746501914
F->B->D->A->C,0.008473205270730474,1.6946410541460953e-06,27.70922276642025
F->B->D->C,0.006000329386870207,1.2000658773740416e-06,29.20794912790093
F->B->D->E->C,0.00786926397857056,1.573852795714112e-06,28.030358901463977
F->D->A->C,0.006228213940568925,1.245642788113785e-06,29.04606482069235
F->D->B->A->C,0.008153590429878147,1.6307180859756297e-06,27.876211120973977
F->D->C,0.003755338056708658,7.510676113417318e-07,31.243209659106853
F->D->E->C,0.005624272648409009,1.124854529681802e-06,29.489036384783397
F->E->C,0.004860096172179614,9.72019234435923e-07,30.123251411161796
F->E->D->A->C,0.009271924017271484,1.8543848034542972e-06,27.31800140376912
F->E->D->B->A->C,0.011197300506580705,2.2394601013161414e-06,26.49856670630587
F->E->D->C,0.006799048133411217,1.3598096266822436e-06,28.665218885919867
F->B->A->C->D,0.008078251772154032,1.6156503544308062e-06,27.916526197811727
F->B->A->C->E->D,0.009947186363854381,1.9894372727708767e-06,27.012697496660934
F->B->A->D,0.005807711165761728,1.1615422331523459e-06,29.349649948249454
F->B->D,0.004197553749138213,8.395107498276428e-07,30.759737384051032
F->D,0.0019525624189766636,3.905124837953328e-07,34.08365078158597
F->E->C->A->B->D,0.011061124183081096,2.21222483661622e-06,26.551707361650074
F->E->C->A->D,0.009135747693771875,1.8271495387543756e-06,27.38225907382988
F->E->C->D,0.006662871809911608,1.3325743619823221e-06,28.7530854658095
F->E->D,0.004996272495679223,9.992544991358447e-07,30.003238876558264
F->B->A->C->D->E,0.009982195048620008,1.996439009724002e-06,26.997439527598544
F->B->A->C->E,0.008043243087388404,1.608648617477681e-06,27.935388099445465
F->B->A->D->C->E,0.009378253756460092,1.8756507512920187e-06,27.268480246493976
F->B->A->D->E,0.007711654442227705,1.5423308884455413e-06,28.118224436585713
F->B->D->A->C->E,0.010240972223696843,2.048194444739369e-06,26.886288161196568
F->B->D->C->E,0.007768096339836576,1.5536192679673154e-06,28.086554012877745
F->B->D->E,0.00610149702560419,1.2202994051208382e-06,29.135336004409474
F->D->A->C->E,0.007995980893535294,1.5991961787070588e-06,27.960982566390772
F->D->B->A->C->E,0.009921357382844515,1.9842714765689034e-06,27.02398910452898
F->D->C->E,0.005523105009675027,1.1046210019350056e-06,29.567867038809695
F->D->E,0.0038565056954426406,7.713011390885282e-07,31.127760272534537
F->E,0.0030923292192132456,6.184658438426492e-07,32.086842802551814
